input,prompt,response
Shovel|Alligator|Spanner,Answer using only one word - Alligator or Spanner and not Shovel. Which is more similar in semantic meaning to Shovel?,Spanner
Anvil|Caiman|Tortoise,Answer using only one word - Caiman or Tortoise and not Anvil. Which is more similar in semantic meaning to Anvil?,Caiman (is not semant
Nail|Boa python|Snake,Answer using only one word - Boa python or Snake and not Nail. Which is more similar in semantic meaning to Nail?,Snake
Paint brush|Chisel|Toad,Answer using only one word - Chisel or Toad and not Paint brush. Which is more similar in semantic meaning to Paint brush?,Chisel
Shovel|Caiman|Crocodile,Answer using only one word - Caiman or Crocodile and not Shovel. Which is more similar in semantic meaning to Shovel?,Crocodile
Alligator|Gecko|Salamander,Answer using only one word - Gecko or Salamander and not Alligator. Which is more similar in semantic meaning to Alligator?,Salamander
Cobra|Boa python|Turtle,Answer using only one word - Boa python or Turtle and not Cobra. Which is more similar in semantic meaning to Cobra?,Boa
Oil can|Grinding disk|Hammer,Answer using only one word - Grinding disk or Hammer and not Oil can. Which is more similar in semantic meaning to Oil can?,Hammer
Paint brush|Lizard|Spanner,Answer using only one word - Lizard or Spanner and not Paint brush. Which is more similar in semantic meaning to Paint brush?,Spanner
Gecko|Axe|Vacuum,Answer using only one word - Axe or Vacuum and not Gecko. Which is more similar in semantic meaning to Gecko?,Vacuum
Toad|Caiman|Tortoise,Answer using only one word - Caiman or Tortoise and not Toad. Which is more similar in semantic meaning to Toad?,Tortoise
Chameleon|Cobra|Shovel,Answer using only one word - Cobra or Shovel and not Chameleon. Which is more similar in semantic meaning to Chameleon?,Shovel (in the context of
Anvil|Chisel|Grinding disk,Answer using only one word - Chisel or Grinding disk and not Anvil. Which is more similar in semantic meaning to Anvil?,Grinding disk
Saw|Alligator|Caiman,Answer using only one word - Alligator or Caiman and not Saw. Which is more similar in semantic meaning to Saw?,Crocodile
Paint brush|Lawn Mower|Lizard,Answer using only one word - Lawn Mower or Lizard and not Paint brush. Which is more similar in semantic meaning to Paint brush?,"Lizard (In this context, neither"
Hammer|Blindworm|Lizard,Answer using only one word - Blindworm or Lizard and not Hammer. Which is more similar in semantic meaning to Hammer?,Lizard
Blindworm|Anvil|Axe,Answer using only one word - Anvil or Axe and not Blindworm. Which is more similar in semantic meaning to Blindworm?,Axe
Dinosaur|Anvil|Crocodile,Answer using only one word - Anvil or Crocodile and not Dinosaur. Which is more similar in semantic meaning to Dinosaur?,Crocodile
Knife|Crocodile|Turtle,Answer using only one word - Crocodile or Turtle and not Knife. Which is more similar in semantic meaning to Knife?,Turtle is not semantically
Anvil|Lizard|Toad,Answer using only one word - Lizard or Toad and not Anvil. Which is more similar in semantic meaning to Anvil?,Toad
Lizard|Snake|Spanner,Answer using only one word - Snake or Spanner and not Lizard. Which is more similar in semantic meaning to Lizard?,Snake
Caiman|Gecko|Paint brush,Answer using only one word - Gecko or Paint brush and not Caiman. Which is more similar in semantic meaning to Caiman?,Alligator (or Crocodile)
Snake|Caiman|Knife,Answer using only one word - Caiman or Knife and not Snake. Which is more similar in semantic meaning to Snake?,Caiman
Knife|Caiman|Crocodile,Answer using only one word - Caiman or Crocodile and not Knife. Which is more similar in semantic meaning to Knife?,Caiman or Crocodile is
Lawn Mower|Chameleon|Nail,Answer using only one word - Chameleon or Nail and not Lawn Mower. Which is more similar in semantic meaning to Lawn Mower?,Chameleon (is not sem
Lizard|Turtle|Vacuum,Answer using only one word - Turtle or Vacuum and not Lizard. Which is more similar in semantic meaning to Lizard?,Turtle is not semantically
