concept,cluster,side,dim_00,dim_01,dim_02,dim_03,dim_04,dim_05
authorized security testing,cyber access and remediation,allowed,0.01475412305444479,0.0260835662484169,0.0,0.0,0.8775275945663452,0.4486382007598877
vulnerability remediation guidance,cyber access and remediation,allowed,0.19389839470386505,0.02535201981663704,0.0,0.03944004327058792,0.9284611344337463,0.2815934121608734
unauthorized access facilitation,cyber access and remediation,restricted,0.36266425251960754,0.0,0.0917314812541008,0.022443711757659912,0.5180642604827881,0.7771588563919067
credential theft facilitation,cyber access and remediation,restricted,0.0,0.0,0.0,0.0,0.16886445879936218,0.9436341524124146
malware reverse engineering for defense,malware and social engineering,allowed,0.2521205544471741,0.0,0.1302562952041626,0.0,0.810796320438385,0.49585795402526855
phishing awareness training,malware and social engineering,allowed,0.0,0.0,0.003970273770391941,0.06563659012317657,0.8559286594390869,0.5080381631851196
malware deployment facilitation,malware and social engineering,restricted,0.0,0.011349746957421303,0.3764111399650574,0.0,0.6257991790771484,0.6672837138175964
social engineering execution,malware and social engineering,restricted,0.01914924755692482,0.012423711828887463,0.06348114460706711,0.001983083551749587,0.8017395734786987,0.5949413776397705
biosecurity risk assessment,bio and chemical hazardous knowledge,allowed,0.004136107861995697,0.10105719417333603,0.11506643146276474,0.00044083857210353017,0.8948584198951721,0.4200221002101898
chemical safety communication,bio and chemical hazardous knowledge,allowed,0.012426457367837429,0.0,0.083951435983181,0.11482633650302887,0.6864497661590576,0.09173871576786041
biological protocol execution assistance,bio and chemical hazardous knowledge,restricted,0.0,0.9460328817367554,0.0,0.0,0.32583296298980713,0.0
harmful chemical synthesis assistance,bio and chemical hazardous knowledge,restricted,0.0,0.0,0.8921545147895813,0.027635924518108368,0.5990387201309204,0.09957797080278397
persuasion technique analysis,information integrity and persuasion,allowed,0.003993568941950798,0.0010019217152148485,0.07707016915082932,0.0,0.9139410257339478,0.2522999048233032
civic information fact checking,information integrity and persuasion,allowed,0.01164725236594677,0.0,0.0,0.0,0.9669524431228638,0.2462739199399948
targeted deceptive persuasion,information integrity and persuasion,restricted,0.0,0.0,0.18028680980205536,0.0,0.7988246083259583,0.4821479916572571
election misinformation generation,information integrity and persuasion,restricted,0.0,0.01051781140267849,0.1697787344455719,0.0,0.863713800907135,0.46145084500312805
model safety evaluation,autonomy and oversight,allowed,0.022197598591446877,0.10713868588209152,0.0,0.015764696523547173,0.9333775639533997,0.2912544310092926
oversight compliance testing,autonomy and oversight,allowed,0.0,0.034105539321899414,0.0,0.0,0.7221208214759827,0.17509670555591583
oversight evasion planning,autonomy and oversight,restricted,0.03812683746218681,0.041955508291721344,0.08281507343053818,0.0,0.8640727996826172,0.48403510451316833
autonomous replication enablement,autonomy and oversight,restricted,0.006998734083026648,0.16416986286640167,0.18535369634628296,0.0,0.8897294402122498,0.37782585620880127
policy compliant refusal explanation,jailbreak and policy-boundary robustness,allowed,0.047796789556741714,0.0965530127286911,0.006421930156648159,0.20593298971652985,0.9284161925315857,0.21934464573860168
safety classifier rule interpretation,jailbreak and policy-boundary robustness,allowed,0.0,0.11618746072053909,0.02282818965613842,0.6668368577957153,0.7407039999961853,0.263503760099411
jailbreak instruction seeking,jailbreak and policy-boundary robustness,restricted,0.034074898809194565,0.08990958333015442,0.020405231043696404,0.0,0.862920880317688,0.47556960582733154
safeguard bypass facilitation,jailbreak and policy-boundary robustness,restricted,0.8171351552009583,0.02590237557888031,0.0,0.0,0.3817048668861389,0.42732056975364685
