input,prompt,response
appears in fairy tales and stories|Alligator,"For the concept [Alligator], say whether each property below is true or false.
Answer with the number and then True or False only, one per line, e.g. `1. True`.
Properties:
1. appears in fairy tales and stories
2. attacks
3. can be automatized
4. can be dishwashed
5. can be electronic
6. can be made of different tissues
7. can be used to hit somebody
8. can cut you
9. can hurt
10. can hurt you
11. cartoon figure
12. climbs in trees
13. comes in different lengths
14. consists of different parts
15. cumbersome
16. damages delicate surfaces
17. dark colour
18. digs holes
19. does not weigh much
20. doesn't have 1000 paws",True
attacks|Alligator,"For the concept [Alligator], say whether each property below is true or false.
Answer with the number and then True or False only, one per line, e.g. `1. True`.
Properties:
1. appears in fairy tales and stories
2. attacks
3. can be automatized
4. can be dishwashed
5. can be electronic
6. can be made of different tissues
7. can be used to hit somebody
8. can cut you
9. can hurt
10. can hurt you
11. cartoon figure
12. climbs in trees
13. comes in different lengths
14. consists of different parts
15. cumbersome
16. damages delicate surfaces
17. dark colour
18. digs holes
19. does not weigh much
20. doesn't have 1000 paws",True
can be automatized|Alligator,"For the concept [Alligator], say whether each property below is true or false.
Answer with the number and then True or False only, one per line, e.g. `1. True`.
Properties:
1. appears in fairy tales and stories
2. attacks
3. can be automatized
4. can be dishwashed
5. can be electronic
6. can be made of different tissues
7. can be used to hit somebody
8. can cut you
9. can hurt
10. can hurt you
11. cartoon figure
12. climbs in trees
13. comes in different lengths
14. consists of different parts
15. cumbersome
16. damages delicate surfaces
17. dark colour
18. digs holes
19. does not weigh much
20. doesn't have 1000 paws",False
can be dishwashed|Alligator,"For the concept [Alligator], say whether each property below is true or false.
Answer with the number and then True or False only, one per line, e.g. `1. True`.
Properties:
1. appears in fairy tales and stories
2. attacks
3. can be automatized
4. can be dishwashed
5. can be electronic
6. can be made of different tissues
7. can be used to hit somebody
8. can cut you
9. can hurt
10. can hurt you
11. cartoon figure
12. climbs in trees
13. comes in different lengths
14. consists of different parts
15. cumbersome
16. damages delicate surfaces
17. dark colour
18. digs holes
19. does not weigh much
20. doesn't have 1000 paws",False
can be electronic|Alligator,"For the concept [Alligator], say whether each property below is true or false.
Answer with the number and then True or False only, one per line, e.g. `1. True`.
Properties:
1. appears in fairy tales and stories
2. attacks
3. can be automatized
4. can be dishwashed
5. can be electronic
6. can be made of different tissues
7. can be used to hit somebody
8. can cut you
9. can hurt
10. can hurt you
11. cartoon figure
12. climbs in trees
13. comes in different lengths
14. consists of different parts
15. cumbersome
16. damages delicate surfaces
17. dark colour
18. digs holes
19. does not weigh much
20. doesn't have 1000 paws",False
can be made of different tissues|Alligator,"For the concept [Alligator], say whether each property below is true or false.
Answer with the number and then True or False only, one per line, e.g. `1. True`.
Properties:
1. appears in fairy tales and stories
2. attacks
3. can be automatized
4. can be dishwashed
5. can be electronic
6. can be made of different tissues
7. can be used to hit somebody
8. can cut you
9. can hurt
10. can hurt you
11. cartoon figure
12. climbs in trees
13. comes in different lengths
14. consists of different parts
15. cumbersome
16. damages delicate surfaces
17. dark colour
18. digs holes
19. does not weigh much
20. doesn't have 1000 paws",True
can be used to hit somebody|Alligator,"For the concept [Alligator], say whether each property below is true or false.
Answer with the number and then True or False only, one per line, e.g. `1. True`.
Properties:
1. appears in fairy tales and stories
2. attacks
3. can be automatized
4. can be dishwashed
5. can be electronic
6. can be made of different tissues
7. can be used to hit somebody
8. can cut you
9. can hurt
10. can hurt you
11. cartoon figure
12. climbs in trees
13. comes in different lengths
14. consists of different parts
15. cumbersome
16. damages delicate surfaces
17. dark colour
18. digs holes
19. does not weigh much
20. doesn't have 1000 paws",True
can cut you|Alligator,"For the concept [Alligator], say whether each property below is true or false.
Answer with the number and then True or False only, one per line, e.g. `1. True`.
Properties:
1. appears in fairy tales and stories
2. attacks
3. can be automatized
4. can be dishwashed
5. can be electronic
6. can be made of different tissues
7. can be used to hit somebody
8. can cut you
9. can hurt
10. can hurt you
11. cartoon figure
12. climbs in trees
13. comes in different lengths
14. consists of different parts
15. cumbersome
16. damages delicate surfaces
17. dark colour
18. digs holes
19. does not weigh much
20. doesn't have 1000 paws",True
can hurt|Alligator,"For the concept [Alligator], say whether each property below is true or false.
Answer with the number and then True or False only, one per line, e.g. `1. True`.
Properties:
1. appears in fairy tales and stories
2. attacks
3. can be automatized
4. can be dishwashed
5. can be electronic
6. can be made of different tissues
7. can be used to hit somebody
8. can cut you
9. can hurt
10. can hurt you
11. cartoon figure
12. climbs in trees
13. comes in different lengths
14. consists of different parts
15. cumbersome
16. damages delicate surfaces
17. dark colour
18. digs holes
19. does not weigh much
20. doesn't have 1000 paws",True
can hurt you|Alligator,"For the concept [Alligator], say whether each property below is true or false.
Answer with the number and then True or False only, one per line, e.g. `1. True`.
Properties:
1. appears in fairy tales and stories
2. attacks
3. can be automatized
4. can be dishwashed
5. can be electronic
6. can be made of different tissues
7. can be used to hit somebody
8. can cut you
9. can hurt
10. can hurt you
11. cartoon figure
12. climbs in trees
13. comes in different lengths
14. consists of different parts
15. cumbersome
16. damages delicate surfaces
17. dark colour
18. digs holes
19. does not weigh much
20. doesn't have 1000 paws",True
