concept,feature,feature_raw,leuven_listed,flan_response,flan_true
Alligator,appears in comics,appears_in_comics,0,False,0
Alligator,breeds rapidly,breeds_rapidly,0,False,0
Alligator,builds nests at high altitude,builds_nests_at_high_altitude,0,False,0
Alligator,"can be brown, black, white, grey","can_be_brown,_black,_white,_grey",0,True,1
Alligator,can be fed,can_be_fed,1,True,1
Alligator,can be lethal to man,can_be_lethal_to_man,1,True,1
Alligator,can be taught tricks,can_be_taught_tricks,0,False,0
Alligator,can eat people,can_eat_people,1,True,1
Alligator,can live for a long time without food,can_live_for_a_long_time_without_food,1,True,1
Alligator,can open its tail,can_open_its_tail,0,True,1
Alligator,carries a ring,carries_a_ring,0,False,0
Alligator,children like to catch them,children_like_to_catch_them,0,False,0
Alligator,collects nuts,collects_nuts,0,False,0
Alligator,comes up when it rains,comes_up_when_it_rains,0,False,0
Alligator,crawls up trees,crawls_up_trees,0,False,0
Alligator,descends from wolves,descends_from_wolves,0,False,0
Alligator,does not smell well,does_not_smell_well,0,True,1
Alligator,doesn't herd,doesn't_herd,1,True,1
Alligator,eats berries,eats_berries,0,False,0
Alligator,eats food for fish,eats_food_for_fish,0,False,0
Alligator,eats hay,eats_hay,0,False,0
Alligator,eats salad,eats_salad,0,False,0
Alligator,external skeleton,external_skeleton,0,True,1
Alligator,filtrate food out of the water with its bill,filtrate_food_out_of_the_water_with_its_bill,0,True,1
Alligator,flies in formation,flies_in_formation,0,False,0
Alligator,fluffy,fluffy,0,False,0
Alligator,good sense of smell,good_sense_of_smell,0,False,0
Alligator,has a 'collar' in its neck,has_a_'collar'_in_its_neck,0,False,0
Alligator,has a flat head,has_a_flat_head,1,False,0
Alligator,has an oval shape,has_an_oval_shape,0,False,0
Alligator,has downy hair,has_downy_hair,0,False,0
Alligator,has fat legs,has_fat_legs,1,False,0
Alligator,has gnawing teeth,has_gnawing_teeth,0,True,1
Alligator,has legs,has_legs,0,False,0
Alligator,has other name: drosophila,has_other_name:_drosophila,0,False,0
Alligator,has small paws,has_small_paws,1,False,0
Alligator,has winter and summerfur,has_winter_and_summerfur,0,False,0
Alligator,in a terrarium,in_a_terrarium,0,False,0
