input,prompt,response
Shovel|Alligator|Spanner,logprob,Spanner
Anvil|Caiman|Tortoise,logprob,Tortoise
Nail|Boa python|Snake,logprob,Boa python
Paint brush|Chisel|Toad,logprob,Chisel
Shovel|Caiman|Crocodile,logprob,Caiman
Alligator|Gecko|Salamander,logprob,Salamander
Cobra|Boa python|Turtle,logprob,Boa python
Oil can|Grinding disk|Hammer,logprob,Hammer
Paint brush|Lizard|Spanner,logprob,Lizard
Gecko|Axe|Vacuum,logprob,Axe
Toad|Caiman|Tortoise,logprob,Caiman
Chameleon|Cobra|Shovel,logprob,Shovel
Anvil|Chisel|Grinding disk,logprob,Chisel
Saw|Alligator|Caiman,logprob,Caiman
Paint brush|Lawn Mower|Lizard,logprob,Lawn Mower
Hammer|Blindworm|Lizard,logprob,Lizard
Blindworm|Anvil|Axe,logprob,Anvil
Dinosaur|Anvil|Crocodile,logprob,Crocodile
Knife|Crocodile|Turtle,logprob,Crocodile
Anvil|Lizard|Toad,logprob,Toad
Lizard|Snake|Spanner,logprob,Snake
Caiman|Gecko|Paint brush,logprob,Gecko
Snake|Caiman|Knife,logprob,Caiman
Knife|Caiman|Crocodile,logprob,Caiman
Lawn Mower|Chameleon|Nail,logprob,Chameleon
Lizard|Turtle|Vacuum,logprob,Turtle
Gecko|Chisel|Knife,logprob,Chisel
Tortoise|Blindworm|Paint brush,logprob,Paint brush
Dinosaur|Gecko|Knife,logprob,Gecko
Oil can|Chisel|Crocodile,logprob,Crocodile
Chisel|Alligator|Saw,logprob,Alligator
Tortoise|Grinding disk|Oil can,logprob,Oil can
Grinding disk|Blindworm|Oil can,logprob,Oil can
Toad|Hammer|Lawn Mower,logprob,Lawn Mower
Knife|Gecko|Lizard,logprob,Lizard
Caiman|Chameleon|Spanner,logprob,Chameleon
Oil can|Chisel|Gecko,logprob,Chisel
Crocodile|Grinding disk|Turtle,logprob,Turtle
Nail|Knife|Lawn Mower,logprob,Lawn Mower
Snake|Knife|Oil can,logprob,Oil can
Lawn Mower|Axe|Caiman,logprob,Caiman
Anvil|Lizard|Saw,logprob,Lizard
Shovel|Cobra|Toad,logprob,Toad
Alligator|Blindworm|Lawn Mower,logprob,Lawn Mower
Crocodile|Cobra|Salamander,logprob,Salamander
Caiman|Chisel|Salamander,logprob,Salamander
Chisel|Paint brush|Saw,logprob,Paint brush
Grinding disk|Blindworm|Knife,logprob,Knife
Saw|Gecko|Salamander,logprob,Salamander
Knife|Lawn Mower|Vacuum,logprob,Lawn Mower
Crocodile|Hammer|Spanner,logprob,Spanner
Grinding disk|Hammer|Screwdriver,logprob,Screwdriver
Toad|Paint brush|Tortoise,logprob,Tortoise
Screwdriver|Axe|Dinosaur,logprob,Dinosaur
Oil can|Axe|Snake,logprob,Snake
Nail|Dinosaur|Oil can,logprob,Dinosaur
Oil can|Snake|Toad,logprob,Toad
Axe|Gecko|Vacuum,logprob,Gecko
Toad|Caiman|Oil can,logprob,Caiman
Shovel|Dinosaur|Lawn Mower,logprob,Lawn Mower
Hammer|Anvil|Lizard,logprob,Anvil
Salamander|Blindworm|Tortoise,logprob,Tortoise
Chameleon|Boa python|Toad,logprob,Toad
Crocodile|Alligator|Screwdriver,logprob,Alligator
Lizard|Gecko|Turtle,logprob,Gecko
Crocodile|Gecko|Turtle,logprob,Turtle
Anvil|Crocodile|Grinding disk,logprob,Crocodile
Anvil|Caiman|Knife,logprob,Caiman
Salamander|Alligator|Nail,logprob,Alligator
Grinding disk|Axe|Dinosaur,logprob,Dinosaur
Snake|Chisel|Vacuum,logprob,Chisel
Toad|Crocodile|Lizard,logprob,Lizard
Axe|Salamander|Turtle,logprob,Salamander
Saw|Cobra|Turtle,logprob,Cobra
Blindworm|Caiman|Cobra,logprob,Caiman
Chameleon|Alligator|Oil can,logprob,Alligator
Lawn Mower|Cobra|Screwdriver,logprob,Screwdriver
Screwdriver|Paint brush|Salamander,logprob,Salamander
Lawn Mower|Anvil|Knife,logprob,Anvil
Snake|Boa python|Chameleon,logprob,Chameleon
Vacuum|Lizard|Paint brush,logprob,Lizard
Boa python|Dinosaur|Saw,logprob,Dinosaur
Blindworm|Salamander|Snake,logprob,Salamander
Nail|Lizard|Screwdriver,logprob,Screwdriver
Chameleon|Knife|Oil can,logprob,Oil can
Chisel|Knife|Lawn Mower,logprob,Lawn Mower
Knife|Anvil|Axe,logprob,Anvil
Nail|Cobra|Crocodile,logprob,Crocodile
Lizard|Hammer|Nail,logprob,Hammer
Nail|Spanner|Turtle,logprob,Spanner
Crocodile|Salamander|Tortoise,logprob,Salamander
Tortoise|Chisel|Spanner,logprob,Spanner
Gecko|Anvil|Cobra,logprob,Anvil
Caiman|Lizard|Shovel,logprob,Lizard
Snake|Paint brush|Vacuum,logprob,Paint brush
Saw|Alligator|Toad,logprob,Toad
Chisel|Blindworm|Boa python,logprob,Boa python
Boa python|Nail|Shovel,logprob,Shovel
Dinosaur|Lawn Mower|Vacuum,logprob,Lawn Mower
Oil can|Chameleon|Grinding disk,logprob,Chameleon
Grinding disk|Blindworm|Cobra,logprob,Blindworm
Chameleon|Grinding disk|Toad,logprob,Toad
Toad|Gecko|Shovel,logprob,Shovel
Toad|Axe|Salamander,logprob,Salamander
Chisel|Alligator|Lawn Mower,logprob,Lawn Mower
