input,prompt,response,prompt_variant
antelope|bison|boar,Answer using only one word - bison or boar and not antelope. Which is more similar in semantic meaning to antelope?,"- looks like deer
- in wy",canonical
antelope|bison|cheetah,Answer using only one word - bison or cheetah and not antelope. Which is more similar in semantic meaning to antelope?,"- looks like deer
- in wy",canonical
antelope|bison|beaver,Answer using only one word - bison or beaver and not antelope. Which is more similar in semantic meaning to antelope?,"- looks like deer
- in wy",canonical
antelope|bison|anteater,Answer using only one word - bison or anteater and not antelope. Which is more similar in semantic meaning to antelope?,"- looks like deer
- in wy",canonical
antelope|bison|bear,Answer using only one word - bison or bear and not antelope. Which is more similar in semantic meaning to antelope?,"- looks like deer
- in wy",canonical
antelope|bison|ostrich,Answer using only one word - bison or ostrich and not antelope. Which is more similar in semantic meaning to antelope?,"- looks like deer
- in wy",canonical
antelope|bison|camel,Answer using only one word - bison or camel and not antelope. Which is more similar in semantic meaning to antelope?,"- looks like deer
- in wy",canonical
antelope|bison|ant,Answer using only one word - bison or ant and not antelope. Which is more similar in semantic meaning to antelope?,"- looks like deer
- in wy",canonical
antelope|bison|beetle,Answer using only one word - bison or beetle and not antelope. Which is more similar in semantic meaning to antelope?,"- looks like deer
- in wy",canonical
antelope|bison|bird,Answer using only one word - bison or bird and not antelope. Which is more similar in semantic meaning to antelope?,"- looks like deer
- in wy",canonical
antelope|bison|file,Answer using only one word - bison or file and not antelope. Which is more similar in semantic meaning to antelope?,"- looks like deer
- in wy",canonical
antelope|bison|chocolate,Answer using only one word - bison or chocolate and not antelope. Which is more similar in semantic meaning to antelope?,"- looks like deer
- in wy",canonical
antelope|bison|bench,Answer using only one word - bison or bench and not antelope. Which is more similar in semantic meaning to antelope?,"- looks like deer
- in wy",canonical
antelope|bison|missile,Answer using only one word - bison or missile and not antelope. Which is more similar in semantic meaning to antelope?,"- looks like deer
- in wy",canonical
antelope|bison|tree,Answer using only one word - bison or tree and not antelope. Which is more similar in semantic meaning to antelope?,"- looks like deer
- in wy",canonical
antelope|bison|bassoon,Answer using only one word - bison or bassoon and not antelope. Which is more similar in semantic meaning to antelope?,"- looks like deer
- in wy",canonical
antelope|bison|artichoke,Answer using only one word - bison or artichoke and not antelope. Which is more similar in semantic meaning to antelope?,"- looks like deer
- in wy",canonical
