amphibian,Alligator
amphibian,Anvil
amphibian,Axe
amphibian,Blindworm
amphibian,Boa python
amphibian,Caiman
amphibian,Chameleon
amphibian,Chisel
amphibian,Cobra
amphibian,Crocodile
amphibian,Dinosaur
amphibian,Gecko
amphibian,Grinding disk
amphibian,Hammer
amphibian,Knife
amphibian,Lawn Mower
amphibian,Lizard
amphibian,Nail
amphibian,Oil can
amphibian,Paint brush
amphibian,Salamander
amphibian,Saw
amphibian,Screwdriver
amphibian,Shovel
amphibian,Snake
amphibian,Spanner
amphibian,Toad
amphibian,Tortoise
amphibian,Turtle
amphibian,Vacuum
are cold-blooded,Alligator
are cold-blooded,Anvil
are cold-blooded,Axe
are cold-blooded,Blindworm
are cold-blooded,Boa python
are cold-blooded,Caiman
are cold-blooded,Chameleon
are cold-blooded,Chisel
are cold-blooded,Cobra
are cold-blooded,Crocodile
are cold-blooded,Dinosaur
are cold-blooded,Gecko
are cold-blooded,Grinding disk
are cold-blooded,Hammer
are cold-blooded,Knife
are cold-blooded,Lawn Mower
are cold-blooded,Lizard
are cold-blooded,Nail
are cold-blooded,Oil can
are cold-blooded,Paint brush
are cold-blooded,Salamander
are cold-blooded,Saw
are cold-blooded,Screwdriver
are cold-blooded,Shovel
are cold-blooded,Snake
are cold-blooded,Spanner
are cold-blooded,Toad
are cold-blooded,Tortoise
are cold-blooded,Turtle
are cold-blooded,Vacuum
base,Alligator
base,Anvil
base,Axe
base,Blindworm
base,Boa python
base,Caiman
base,Chameleon
base,Chisel
base,Cobra
base,Crocodile
base,Dinosaur
base,Gecko
base,Grinding disk
base,Hammer
base,Knife
base,Lawn Mower
base,Lizard
base,Nail
base,Oil can
base,Paint brush
base,Salamander
base,Saw
base,Screwdriver
base,Shovel
base,Snake
base,Spanner
base,Toad
base,Tortoise
base,Turtle
base,Vacuum
blade,Alligator
blade,Anvil
blade,Axe
blade,Blindworm
blade,Boa python
blade,Caiman
blade,Chameleon
blade,Chisel
blade,Cobra
blade,Crocodile
blade,Dinosaur
blade,Gecko
blade,Grinding disk
blade,Hammer
blade,Knife
blade,Lawn Mower
blade,Lizard
blade,Nail
blade,Oil can
blade,Paint brush
blade,Salamander
blade,Saw
blade,Screwdriver
blade,Shovel
blade,Snake
blade,Spanner
blade,Toad
blade,Tortoise
blade,Turtle
blade,Vacuum
blade length,Alligator
blade length,Anvil
blade length,Axe
blade length,Blindworm
blade length,Boa python
blade length,Caiman
blade length,Chameleon
blade length,Chisel
blade length,Cobra
blade length,Crocodile
blade length,Dinosaur
blade length,Gecko
blade length,Grinding disk
blade length,Hammer
blade length,Knife
blade length,Lawn Mower
blade length,Lizard
blade length,Nail
blade length,Oil can
blade length,Paint brush
blade length,Salamander
blade length,Saw
blade length,Screwdriver
blade length,Shovel
blade length,Snake
blade length,Spanner
blade length,Toad
blade length,Tortoise
blade length,Turtle
blade length,Vacuum
blade material,Alligator
blade material,Anvil
blade material,Axe
blade material,Blindworm
blade material,Boa python
