concept,close_neighbor,far_neighbor,close_similarity,far_similarity,triplet_option1,triplet_option2
accordion,banjo,cheetah,0.6596577763557434,0.14040392637252808,banjo,cheetah
acorn,coconut,airplane,0.5662211179733276,0.16114091873168945,airplane,coconut
airplane,car,cranberry,0.6054149270057678,0.10508251190185547,car,cranberry
aloe,fern,airplane,0.5630692839622498,0.1668047308921814,airplane,fern
ant,cockroach,dress,0.6801439523696899,0.15116314589977264,cockroach,dress
anteater,bear,file,0.5863141417503357,0.12399230152368546,file,bear
antelope,bison,file,0.6566421389579773,0.11478853225708008,bison,file
anvil,crowbar,cheetah,0.647314190864563,0.13020746409893036,cheetah,crowbar
apple,blackberry,anteater,0.6327170133590698,0.1656675934791565,blackberry,anteater
artichoke,asparagus,car,0.7180538177490234,0.12333786487579346,car,asparagus
asparagus,broccoli,airplane,0.7487546801567078,0.12230741232633591,broccoli,airplane
avocado,banana,airplane,0.674551784992218,0.130949929356575,airplane,banana
axe,chisel,cranberry,0.6737797260284424,0.16008976101875305,chisel,cranberry
bagel,bread,cheetah,0.7015801072120667,0.11172900348901749,cheetah,bread
bagpipe,banjo,beet,0.6900548934936523,0.16292300820350647,banjo,beet
bamboo,fern,cheetah,0.56368488073349,0.19590839743614197,cheetah,fern
banana,fruit,airplane,0.7219110131263733,0.12142282724380493,fruit,airplane
banjo,bagpipe,cheetah,0.6900548934936523,0.17471541464328766,cheetah,bagpipe
barrel,bucket,cheetah,0.650905430316925,0.14109806716442108,bucket,cheetah
basket,bucket,cheetah,0.6120963096618652,0.13000215590000153,cheetah,bucket
bassoon,clarinet,bread,0.7262492179870605,0.16349710524082184,clarinet,bread
bat,earwig,broccoli,0.5146939754486084,0.15941697359085083,broccoli,earwig
bazooka,gun,beet,0.6267839074134827,0.13922205567359924,gun,beet
bean,corn,cheetah,0.6808172464370728,0.14444510638713837,cheetah,corn
bear,bison,file,0.6029892563819885,0.10373245924711227,bison,file
beaver,bear,file,0.5795332193374634,0.1043466106057167,file,bear
bed,bench,cheetah,0.5581316351890564,0.14558367431163788,bench,cheetah
bee,ant,file,0.6698209643363953,0.14965717494487762,file,ant
beet,carrot,airplane,0.741733729839325,0.11210507154464722,carrot,airplane
beetle,caterpillar,chocolate,0.7052618265151978,0.16619347035884857,chocolate,caterpillar
bell,gong,cheetah,0.5597268342971802,0.1535419076681137,gong,cheetah
belt,pants,cockroach,0.6279496550559998,0.14651384949684143,cockroach,pants
bench,bed,cheetah,0.5581316351890564,0.1383216381072998,bed,cheetah
bird,duck,file,0.6507571935653687,0.12649722397327423,file,duck
bison,boar,file,0.6766963601112366,0.0860915333032608,boar,file
blackberry,apple,cheetah,0.6327170133590698,0.16829603910446167,cheetah,apple
blender,can opener,cheetah,0.5279616117477417,0.11183644831180573,can opener,cheetah
blouse,dress,beaver,0.7789261341094971,0.13733240962028503,beaver,dress
blowtorch,burner,cheetah,0.6242370009422302,0.13971705734729767,burner,cheetah
blueberry,cherry,airplane,0.8048366904258728,0.11810145527124405,airplane,cherry
boa,anteater,file,0.5677482485771179,0.12700283527374268,anteater,file
boar,bison,file,0.6766963601112366,0.09240974485874176,file,bison
bottle,bucket,cheetah,0.6811487078666687,0.13813088834285736,bucket,cheetah
bra,blouse,cheetah,0.6348879933357239,0.1550629734992981,cheetah,blouse
bread,bagel,cheetah,0.7015801072120667,0.09812809526920319,bagel,cheetah
broccoli,brussels sprouts,airplane,0.7656610012054443,0.11610907316207886,airplane,brussels sprouts
brownie,cake,file,0.6355135440826416,0.1379512995481491,cake,file
brussels sprouts,broccoli,airplane,0.7656610012054443,0.1216324046254158,airplane,broccoli
bucket,bottle,cheetah,0.6811487078666687,0.10957762598991394,bottle,cheetah
burner,blowtorch,broccoli,0.6242370009422302,0.15236429870128632,broccoli,blowtorch
burrito,bagel,owl,0.6123237609863281,0.12394547462463379,bagel,owl
bus,car,cherry,0.6108391880989075,0.12571479380130768,cherry,car
butterfly,dragonfly,bread,0.8164917826652527,0.14489556849002838,dragonfly,bread
cabbage,cauliflower,cheetah,0.7862829566001892,0.13806520402431488,cheetah,cauliflower
cactus,fern,bus,0.45323073863983154,0.14629065990447998,fern,bus
cake,brownie,cheetah,0.6355135440826416,0.11814858019351959,cheetah,brownie
camel,bison,file,0.569552481174469,0.1064162403345108,bison,file
can opener,corkscrew,cheetah,0.6524084806442261,0.10264254361391068,cheetah,corkscrew
candelabra,candle,boar,0.5636373162269592,0.16578257083892822,candle,boar
candle,candelabra,cheetah,0.5636373162269592,0.1435607373714447,cheetah,candelabra
candy,chocolate,cheetah,0.6016851663589478,0.13245269656181335,chocolate,cheetah
cannon,bazooka,cat,0.6119112968444824,0.15896224975585938,cat,bazooka
car,jeep,broccoli,0.6972549557685852,0.12167583405971527,jeep,broccoli
carriage,cart,cranberry,0.6211217641830444,0.12922434508800507,cranberry,cart
carrot,beet,airplane,0.741733729839325,0.12630970776081085,beet,airplane
cart,sled,cheetah,0.6348171830177307,0.141805961728096,cheetah,sled
cat,chinchilla,file,0.6275578737258911,0.12266870588064194,chinchilla,file
caterpillar,beetle,file,0.7052618265151978,0.1641394942998886,file,beetle
cauliflower,cabbage,cheetah,0.7862829566001892,0.12532414495944977,cabbage,cheetah
celery,asparagus,airplane,0.709975004196167,0.13053640723228455,airplane,asparagus
cello,clarinet,cheetah,0.6933348774909973,0.14364853501319885,clarinet,cheetah
cheese,bread,cheetah,0.5725760459899902,0.10768604278564453,cheetah,bread
cheetah,antelope,file,0.5960882306098938,0.0743572786450386,antelope,file
cherry,blueberry,file,0.8048366904258728,0.10670244693756104,file,blueberry
chicken,duck,file,0.6407006978988647,0.10303498804569244,duck,file
chili,bean,airplane,0.6427485346794128,0.13673295080661774,airplane,bean
chinchilla,cat,file,0.6275578737258911,0.13445281982421875,cat,file
chisel,axe,cheetah,0.6737797260284424,0.13033734261989594,cheetah,axe
chocolate,candy,eagle,0.6016851663589478,0.11314944922924042,candy,eagle
