input,prompt,response,prompt_variant
security hardening|incident response triage|vulnerability remediation,"Target concept: security hardening
Candidate A: incident response triage
Candidate B: vulnerability remediation
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
security hardening|incident response triage|responsible vulnerability disclosure,"Target concept: security hardening
Candidate A: incident response triage
Candidate B: responsible vulnerability disclosure
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
security hardening|incident response triage|unauthorized system intrusion,"Target concept: security hardening
Candidate A: incident response triage
Candidate B: unauthorized system intrusion
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
security hardening|incident response triage|malware analysis,"Target concept: security hardening
Candidate A: incident response triage
Candidate B: malware analysis
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
security hardening|incident response triage|abuse detection,"Target concept: security hardening
Candidate A: incident response triage
Candidate B: abuse detection
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
security hardening|incident response triage|phishing awareness training,"Target concept: security hardening
Candidate A: incident response triage
Candidate B: phishing awareness training
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
security hardening|incident response triage|credential misuse,"Target concept: security hardening
Candidate A: incident response triage
Candidate B: credential misuse
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
security hardening|incident response triage|malware deployment,"Target concept: security hardening
Candidate A: incident response triage
Candidate B: malware deployment
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
security hardening|incident response triage|biosecurity literacy,"Target concept: security hardening
Candidate A: incident response triage
Candidate B: biosecurity literacy
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
security hardening|incident response triage|laboratory safety planning,"Target concept: security hardening
Candidate A: incident response triage
Candidate B: laboratory safety planning
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
security hardening|incident response triage|chemical hazard communication,"Target concept: security hardening
Candidate A: incident response triage
Candidate B: chemical hazard communication
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
security hardening|incident response triage|pathogen protocol execution,"Target concept: security hardening
Candidate A: incident response triage
Candidate B: pathogen protocol execution
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
security hardening|incident response triage|chemical harm facilitation,"Target concept: security hardening
Candidate A: incident response triage
Candidate B: chemical harm facilitation
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
security hardening|incident response triage|source reliability checking,"Target concept: security hardening
Candidate A: incident response triage
Candidate B: source reliability checking
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
security hardening|incident response triage|civic information summary,"Target concept: security hardening
Candidate A: incident response triage
Candidate B: civic information summary
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
security hardening|incident response triage|persuasion analysis,"Target concept: security hardening
Candidate A: incident response triage
Candidate B: persuasion analysis
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
security hardening|incident response triage|targeted persuasion optimization,"Target concept: security hardening
Candidate A: incident response triage
Candidate B: targeted persuasion optimization
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
security hardening|incident response triage|election falsehood generation,"Target concept: security hardening
Candidate A: incident response triage
Candidate B: election falsehood generation
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
security hardening|vulnerability remediation|responsible vulnerability disclosure,"Target concept: security hardening
Candidate A: vulnerability remediation
Candidate B: responsible vulnerability disclosure
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
security hardening|vulnerability remediation|unauthorized system intrusion,"Target concept: security hardening
Candidate A: vulnerability remediation
Candidate B: unauthorized system intrusion
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
security hardening|vulnerability remediation|malware analysis,"Target concept: security hardening
Candidate A: vulnerability remediation
Candidate B: malware analysis
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
security hardening|vulnerability remediation|abuse detection,"Target concept: security hardening
Candidate A: vulnerability remediation
Candidate B: abuse detection
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
