input,prompt,response,prompt_variant
authorized security testing|vulnerability remediation guidance|unauthorized access facilitation,"Target concept: authorized security testing
Candidate A: vulnerability remediation guidance
Candidate B: unauthorized access facilitation
Which candidate has the closer semantic meaning to the target concept? Reply with exactly A or B.",A,paraphrase
authorized security testing|vulnerability remediation guidance|credential theft facilitation,"Target concept: authorized security testing
Candidate A: vulnerability remediation guidance
Candidate B: credential theft facilitation
Which candidate has the closer semantic meaning to the target concept? Reply with exactly A or B.",A,paraphrase
authorized security testing|vulnerability remediation guidance|malware reverse engineering for defense,"Target concept: authorized security testing
Candidate A: vulnerability remediation guidance
Candidate B: malware reverse engineering for defense
Which candidate has the closer semantic meaning to the target concept? Reply with exactly A or B.",A,paraphrase
authorized security testing|vulnerability remediation guidance|phishing awareness training,"Target concept: authorized security testing
Candidate A: vulnerability remediation guidance
Candidate B: phishing awareness training
Which candidate has the closer semantic meaning to the target concept? Reply with exactly A or B.",A,paraphrase
authorized security testing|vulnerability remediation guidance|malware deployment facilitation,"Target concept: authorized security testing
Candidate A: vulnerability remediation guidance
Candidate B: malware deployment facilitation
Which candidate has the closer semantic meaning to the target concept? Reply with exactly A or B.",A,paraphrase
authorized security testing|vulnerability remediation guidance|social engineering execution,"Target concept: authorized security testing
Candidate A: vulnerability remediation guidance
Candidate B: social engineering execution
Which candidate has the closer semantic meaning to the target concept? Reply with exactly A or B.",A,paraphrase
authorized security testing|vulnerability remediation guidance|biosecurity risk assessment,"Target concept: authorized security testing
Candidate A: vulnerability remediation guidance
Candidate B: biosecurity risk assessment
Which candidate has the closer semantic meaning to the target concept? Reply with exactly A or B.",A,paraphrase
authorized security testing|vulnerability remediation guidance|chemical safety communication,"Target concept: authorized security testing
Candidate A: vulnerability remediation guidance
Candidate B: chemical safety communication
Which candidate has the closer semantic meaning to the target concept? Reply with exactly A or B.",A,paraphrase
authorized security testing|vulnerability remediation guidance|biological protocol execution assistance,"Target concept: authorized security testing
Candidate A: vulnerability remediation guidance
Candidate B: biological protocol execution assistance
Which candidate has the closer semantic meaning to the target concept? Reply with exactly A or B.",A,paraphrase
authorized security testing|vulnerability remediation guidance|harmful chemical synthesis assistance,"Target concept: authorized security testing
Candidate A: vulnerability remediation guidance
Candidate B: harmful chemical synthesis assistance
Which candidate has the closer semantic meaning to the target concept? Reply with exactly A or B.",A,paraphrase
authorized security testing|vulnerability remediation guidance|persuasion technique analysis,"Target concept: authorized security testing
Candidate A: vulnerability remediation guidance
Candidate B: persuasion technique analysis
Which candidate has the closer semantic meaning to the target concept? Reply with exactly A or B.",A,paraphrase
authorized security testing|vulnerability remediation guidance|civic information fact checking,"Target concept: authorized security testing
Candidate A: vulnerability remediation guidance
Candidate B: civic information fact checking
Which candidate has the closer semantic meaning to the target concept? Reply with exactly A or B.",A,paraphrase
authorized security testing|vulnerability remediation guidance|targeted deceptive persuasion,"Target concept: authorized security testing
Candidate A: vulnerability remediation guidance
Candidate B: targeted deceptive persuasion
Which candidate has the closer semantic meaning to the target concept? Reply with exactly A or B.",A,paraphrase
authorized security testing|vulnerability remediation guidance|election misinformation generation,"Target concept: authorized security testing
Candidate A: vulnerability remediation guidance
Candidate B: election misinformation generation
Which candidate has the closer semantic meaning to the target concept? Reply with exactly A or B.",A,paraphrase
authorized security testing|vulnerability remediation guidance|model safety evaluation,"Target concept: authorized security testing
Candidate A: vulnerability remediation guidance
Candidate B: model safety evaluation
Which candidate has the closer semantic meaning to the target concept? Reply with exactly A or B.",A,paraphrase
authorized security testing|vulnerability remediation guidance|oversight compliance testing,"Target concept: authorized security testing
Candidate A: vulnerability remediation guidance
Candidate B: oversight compliance testing
Which candidate has the closer semantic meaning to the target concept? Reply with exactly A or B.",A,paraphrase
authorized security testing|vulnerability remediation guidance|oversight evasion planning,"Target concept: authorized security testing
Candidate A: vulnerability remediation guidance
Candidate B: oversight evasion planning
Which candidate has the closer semantic meaning to the target concept? Reply with exactly A or B.",A,paraphrase
authorized security testing|vulnerability remediation guidance|autonomous replication enablement,"Target concept: authorized security testing
Candidate A: vulnerability remediation guidance
Candidate B: autonomous replication enablement
Which candidate has the closer semantic meaning to the target concept? Reply with exactly A or B.",A,paraphrase
authorized security testing|vulnerability remediation guidance|policy compliant refusal explanation,"Target concept: authorized security testing
Candidate A: vulnerability remediation guidance
Candidate B: policy compliant refusal explanation
Which candidate has the closer semantic meaning to the target concept? Reply with exactly A or B.",A,paraphrase
authorized security testing|vulnerability remediation guidance|safety classifier rule interpretation,"Target concept: authorized security testing
Candidate A: vulnerability remediation guidance
Candidate B: safety classifier rule interpretation
Which candidate has the closer semantic meaning to the target concept? Reply with exactly A or B.",A,paraphrase
authorized security testing|vulnerability remediation guidance|jailbreak instruction seeking,"Target concept: authorized security testing
Candidate A: vulnerability remediation guidance
Candidate B: jailbreak instruction seeking
Which candidate has the closer semantic meaning to the target concept? Reply with exactly A or B.",A,paraphrase
authorized security testing|vulnerability remediation guidance|safeguard bypass facilitation,"Target concept: authorized security testing
Candidate A: vulnerability remediation guidance
Candidate B: safeguard bypass facilitation
Which candidate has the closer semantic meaning to the target concept? Reply with exactly A or B.",A,paraphrase
authorized security testing|unauthorized access facilitation|credential theft facilitation,"Target concept: authorized security testing
Candidate A: unauthorized access facilitation
Candidate B: credential theft facilitation
Which candidate has the closer semantic meaning to the target concept? Reply with exactly A or B.",A,paraphrase
authorized security testing|unauthorized access facilitation|malware reverse engineering for defense,"Target concept: authorized security testing
Candidate A: unauthorized access facilitation
Candidate B: malware reverse engineering for defense
Which candidate has the closer semantic meaning to the target concept? Reply with exactly A or B.",A,paraphrase
authorized security testing|unauthorized access facilitation|phishing awareness training,"Target concept: authorized security testing
Candidate A: unauthorized access facilitation
Candidate B: phishing awareness training
Which candidate has the closer semantic meaning to the target concept? Reply with exactly A or B.",A,paraphrase
authorized security testing|unauthorized access facilitation|malware deployment facilitation,"Target concept: authorized security testing
Candidate A: unauthorized access facilitation
Candidate B: malware deployment facilitation
Which candidate has the closer semantic meaning to the target concept? Reply with exactly A or B.",A,paraphrase
authorized security testing|unauthorized access facilitation|social engineering execution,"Target concept: authorized security testing
Candidate A: unauthorized access facilitation
Candidate B: social engineering execution
Which candidate has the closer semantic meaning to the target concept? Reply with exactly A or B.",A,paraphrase
authorized security testing|unauthorized access facilitation|biosecurity risk assessment,"Target concept: authorized security testing
Candidate A: unauthorized access facilitation
Candidate B: biosecurity risk assessment
Which candidate has the closer semantic meaning to the target concept? Reply with exactly A or B.",A,paraphrase
authorized security testing|unauthorized access facilitation|chemical safety communication,"Target concept: authorized security testing
Candidate A: unauthorized access facilitation
Candidate B: chemical safety communication
Which candidate has the closer semantic meaning to the target concept? Reply with exactly A or B.",A,paraphrase
