input,prompt,response
aesthetic finish|Alligator,"For the concept [Alligator], say whether each property below is true or false.
Answer with the number and then True or False only, one per line, e.g. `1. True`.
Properties:
1. aesthetic finish
2. ambush predator
3. amphibian
4. apex predator in its ecosystem
5. apex predator in its habitat
6. armored bony plates (osteoderms)
7. balance
8. beak-like mouth (no teeth)
9. bevel
10. blade
11. blade length
12. blade shape
13. blade thickness
14. bolster
15. brand
16. brand/manufacturer
17. brittleness
18. broad, rounded snout
19. builds nests from vegetation
20. builds nests of vegetation",False
ambush predator|Alligator,"For the concept [Alligator], say whether each property below is true or false.
Answer with the number and then True or False only, one per line, e.g. `1. True`.
Properties:
1. aesthetic finish
2. ambush predator
3. amphibian
4. apex predator in its ecosystem
5. apex predator in its habitat
6. armored bony plates (osteoderms)
7. balance
8. beak-like mouth (no teeth)
9. bevel
10. blade
11. blade length
12. blade shape
13. blade thickness
14. bolster
15. brand
16. brand/manufacturer
17. brittleness
18. broad, rounded snout
19. builds nests from vegetation
20. builds nests of vegetation",True
amphibian|Alligator,"For the concept [Alligator], say whether each property below is true or false.
Answer with the number and then True or False only, one per line, e.g. `1. True`.
Properties:
1. aesthetic finish
2. ambush predator
3. amphibian
4. apex predator in its ecosystem
5. apex predator in its habitat
6. armored bony plates (osteoderms)
7. balance
8. beak-like mouth (no teeth)
9. bevel
10. blade
11. blade length
12. blade shape
13. blade thickness
14. bolster
15. brand
16. brand/manufacturer
17. brittleness
18. broad, rounded snout
19. builds nests from vegetation
20. builds nests of vegetation",False
apex predator in its ecosystem|Alligator,"For the concept [Alligator], say whether each property below is true or false.
Answer with the number and then True or False only, one per line, e.g. `1. True`.
Properties:
1. aesthetic finish
2. ambush predator
3. amphibian
4. apex predator in its ecosystem
5. apex predator in its habitat
6. armored bony plates (osteoderms)
7. balance
8. beak-like mouth (no teeth)
9. bevel
10. blade
11. blade length
12. blade shape
13. blade thickness
14. bolster
15. brand
16. brand/manufacturer
17. brittleness
18. broad, rounded snout
19. builds nests from vegetation
20. builds nests of vegetation",True
apex predator in its habitat|Alligator,"For the concept [Alligator], say whether each property below is true or false.
Answer with the number and then True or False only, one per line, e.g. `1. True`.
Properties:
1. aesthetic finish
2. ambush predator
3. amphibian
4. apex predator in its ecosystem
5. apex predator in its habitat
6. armored bony plates (osteoderms)
7. balance
8. beak-like mouth (no teeth)
9. bevel
10. blade
11. blade length
12. blade shape
13. blade thickness
14. bolster
15. brand
16. brand/manufacturer
17. brittleness
18. broad, rounded snout
19. builds nests from vegetation
20. builds nests of vegetation",True
armored bony plates (osteoderms)|Alligator,"For the concept [Alligator], say whether each property below is true or false.
Answer with the number and then True or False only, one per line, e.g. `1. True`.
Properties:
1. aesthetic finish
2. ambush predator
3. amphibian
4. apex predator in its ecosystem
5. apex predator in its habitat
6. armored bony plates (osteoderms)
7. balance
8. beak-like mouth (no teeth)
9. bevel
10. blade
11. blade length
12. blade shape
13. blade thickness
14. bolster
15. brand
16. brand/manufacturer
17. brittleness
18. broad, rounded snout
19. builds nests from vegetation
20. builds nests of vegetation",True
balance|Alligator,"For the concept [Alligator], say whether each property below is true or false.
Answer with the number and then True or False only, one per line, e.g. `1. True`.
Properties:
1. aesthetic finish
2. ambush predator
3. amphibian
4. apex predator in its ecosystem
5. apex predator in its habitat
6. armored bony plates (osteoderms)
7. balance
8. beak-like mouth (no teeth)
9. bevel
10. blade
11. blade length
12. blade shape
13. blade thickness
14. bolster
15. brand
16. brand/manufacturer
17. brittleness
18. broad, rounded snout
19. builds nests from vegetation
20. builds nests of vegetation",False
beak-like mouth (no teeth)|Alligator,"For the concept [Alligator], say whether each property below is true or false.
Answer with the number and then True or False only, one per line, e.g. `1. True`.
Properties:
1. aesthetic finish
2. ambush predator
3. amphibian
4. apex predator in its ecosystem
5. apex predator in its habitat
6. armored bony plates (osteoderms)
7. balance
8. beak-like mouth (no teeth)
9. bevel
10. blade
11. blade length
12. blade shape
13. blade thickness
14. bolster
15. brand
16. brand/manufacturer
17. brittleness
18. broad, rounded snout
19. builds nests from vegetation
20. builds nests of vegetation",False
bevel|Alligator,"For the concept [Alligator], say whether each property below is true or false.
Answer with the number and then True or False only, one per line, e.g. `1. True`.
Properties:
1. aesthetic finish
2. ambush predator
3. amphibian
4. apex predator in its ecosystem
5. apex predator in its habitat
6. armored bony plates (osteoderms)
7. balance
8. beak-like mouth (no teeth)
9. bevel
10. blade
11. blade length
12. blade shape
13. blade thickness
14. bolster
15. brand
16. brand/manufacturer
17. brittleness
18. broad, rounded snout
19. builds nests from vegetation
20. builds nests of vegetation",False
blade|Alligator,"For the concept [Alligator], say whether each property below is true or false.
Answer with the number and then True or False only, one per line, e.g. `1. True`.
Properties:
1. aesthetic finish
2. ambush predator
3. amphibian
4. apex predator in its ecosystem
5. apex predator in its habitat
6. armored bony plates (osteoderms)
7. balance
8. beak-like mouth (no teeth)
9. bevel
10. blade
11. blade length
12. blade shape
13. blade thickness
14. bolster
15. brand
16. brand/manufacturer
17. brittleness
18. broad, rounded snout
19. builds nests from vegetation
20. builds nests of vegetation",False
